UID,ID,Study,longitude,latitude,MAT,MAP,pH,SOC,TN,sand,silt,clay,years,n,AS,BG,CBH,CN,DOC,Fed,Feo,SOC,MAOC,POC,Fep,TN,XYL,PPO,ph,Mura,GalN,GluN,ManN,MBC
36,36,126,-50.866667,-23.666667,19.47249985,1440,5.599999905,29.89999962,2.299999952,3,11,86,20,3,,,,,,,,0.096416085,,,,,,,0.067441281,,,,,-0.143100844
37,37,126,-50.866667,-23.666667,19.47249985,1440,5.599999905,29.89999962,2.299999952,3,11,86,20,3,,,,,,,,0.161360516,,,,,,,0.112477983,,,,,0.563469357
38,38,127,-53.833333,-24.283333,20.87866592,1516,5.2,20,2.799999952,24,16,60,15,4,,,,,,,,0.255719722,,,,,,,0.021053409,,,,,1.488452079
39,39,127,-53.833333,-24.283333,20.87866592,1516,5.2,20,2.799999952,24,16,60,15,4,,,,,,,,0.55249832,,,,,,,0.103184236,,,,,1.070610459
40,40,127,-53.833333,-24.283333,20.87866592,1516,5.2,20,2.799999952,24,16,60,15,4,,,,,,,,0.454597797,,,,,,,0.064538521,,,,,0.740030766
41,41,127,-53.833333,-24.283333,20.87866592,1516,5.2,20,2.799999952,24,16,60,15,4,,,,,,,,0.308838272,,,,,,,0,,,,,0.759616825
42,42,127,-53.833333,-24.283333,20.87866592,1516,5.2,20,2.799999952,24,16,60,15,4,,,,,,,,0.286322453,,,,,,,-0.020619287,,,,,0.876229483
43,43,129,-51.166667,-23.35,20.69516754,1600,5.300000191,38.90000153,3,11,13,76,24,3,,,,,,,,0.250610946,,,,,,,0.066989326,,,,,
44,44,129,-51.166667,-23.35,20.69516754,1600,5.300000191,25,2.299999952,11,13,76,24,3,,,,,,,,0.150282203,,,,,,,0.044750196,,,,,
45,45,129,-51.166667,-23.35,20.69516754,1600,5.300000191,25,2.299999952,11,13,76,24,3,,,,,,,,0.070951736,,,,,,,0.029117399,,,,,
46,46,139,-52.8150443,-27.1210059,20,2000,5.099999905,69.90000153,5.099999905,21,35,44,2,9,,,,,,,,,,,,,,,0.071458964,,,,,0.758909031
47,47,139,-52.8150443,-27.1210059,20,2000,5.099999905,69.90000153,5.099999905,21,35,44,1,9,,,,,,,,,,,,,,,-0.219362828,,,,,0.90861806
48,48,139,-52.8150443,-27.1210059,20,2000,5.099999905,69.90000153,5.099999905,21,35,44,1,9,,,,,,,,,,,,,,,-0.219362828,,,,,0.067718174
49,49,154,75.866667,30.933333,23.76883316,760,7.88,NA,NA,NA,NA,NA,6,3,,0.026811257,,,,,,0.073502462,,,,,,,,,,,,
50,50,154,75.866667,30.933333,23.76883316,760,7.88,NA,NA,NA,NA,NA,6,3,,-0.00584797,,,,,,0.071691928,,,,,,,,,,,,
51,51,160,-9.366667,33,NA,358,NA,13.3,NA,22,25,53,4,3,,,,,,,,,,,,,,,-0.024391453,,,,,
52,52,160,-9.366667,33,NA,358,NA,13.3,NA,22,25,53,4,3,,,,,,,,,,,,,,,0.011976191,,,,,
53,53,160,-9.366667,33,NA,358,NA,13.3,NA,22,25,53,4,3,,,,,,,,,,,,,,,0,,,,,
54,54,160,-9.366667,33,NA,358,NA,13.3,NA,22,25,53,11,3,,,,,,,,,,,,,,,-0.025317808,,,,,
55,55,160,-9.366667,33,NA,358,NA,13.3,NA,22,25,53,11,3,,,,,,,,,,,,,,,0.01242252,,,,,
56,56,160,-9.366667,33,NA,358,NA,13.3,NA,22,25,53,11,3,,,,,,,,,,,,,,,0,,,,,
57,57,165,-80.516667,42.866667,7.8,969,5.9,7.3,0.57,85,11,4,15,6,,,,0.027908788,,,,0.004535155,,,,-0.019418086,,,,,,,,
58,58,165,-80.516667,42.866667,7.8,969,5.9,7.3,0.57,85,11,4,15,6,,,,0.095804129,,,,0.047899692,,,,-0.043675064,,,,,,,,
59,59,165,-80.516667,42.866667,7.8,969,5.9,7.3,0.57,85,11,4,15,6,,,,-0.040394422,,,,-0.002190581,,,,0.043802623,,,,,,,,
60,60,165,-80.516667,42.866667,7.8,969,5.9,7.3,0.57,85,11,4,15,6,,,,0.27029033,,,,0.030844675,,,,-0.233614851,,,,,,,,
61,61,174,-51.211475,-23.342156,20.51650047,1558,5.8,25.6,2.900000095,13,7,80,6,8,,,,0,,,,0.085323043,,,,0.087011377,,,0.070204259,,,,,
62,62,182,-96.98,42.38,8.703666687,688,6.400000095,29,3.200000048,18,48,34,28,4,,,,,,,,0.133531393,,,,,,,-0.09593338,,,,,
63,63,182,-96.98,42.38,8.703666687,688,6.400000095,29,3.200000048,18,48,34,28,4,,,,,,,,0.167054085,,,,,,,-0.123191514,,,,,
64,64,182,-96.98,42.38,8.703666687,688,6.400000095,29,3.200000048,18,48,34,28,4,,,,,,,,0.16034265,,,,,,,-0.16507975,,,,,
65,65,182,-96.98,42.38,8.703666687,688,6.400000095,29,3.200000048,18,48,34,28,4,,,,,,,,0.127833372,,,,,,,-0.049440336,,,,,
66,66,182,-96.98,42.38,8.703666687,688,6.400000095,29,3.200000048,18,48,34,28,4,,,,,,,,0.083381609,,,,,,,-0.130271909,,,,,
67,67,182,-96.98,42.38,8.703666687,688,6.400000095,29,3.200000048,18,48,34,28,4,,,,,,,,0.127833372,,,,,,,-0.120027433,,,,,
68,68,182,-96.98,42.38,8.703666687,688,6.400000095,29,3.200000048,18,48,34,28,4,,,,,,,,0.133531393,,,,,,,-0.0457027,,,,,
69,69,182,-96.98,42.38,8.703666687,688,6.400000095,29,3.200000048,18,48,34,29,4,,,,,,,,0.241162057,,,,,,,-0.121868137,,,,,
70,70,182,-96.98,42.38,8.703666687,688,6.400000095,29,3.200000048,18,48,34,30,4,,,,,,,,0.16034265,,,,,,,-0.20659476,,,,,
71,71,182,-96.98,42.38,8.703666687,688,6.400000095,29,3.200000048,18,48,34,31,4,,,,,,,,0.204794413,,,,,,,0,,,,,
72,72,182,-96.98,42.38,8.703666687,688,6.400000095,29,3.200000048,18,48,34,32,4,,,,,,,,0.196710294,,,,,,,-0.09637622,,,,,
73,73,182,-96.98,42.38,8.703666687,688,6.400000095,29,3.200000048,18,48,34,33,4,,,,,,,,0.204794413,,,,,,,-0.101078928,,,,,
74,74,182,-96.98,42.38,8.703666687,688,6.400000095,19.20000076,2.200000048,18,48,34,28,4,,,,,,,,0.090971778,,,,,,,-0.09830065,,,,,
75,75,182,-96.98,42.38,8.703666687,688,6.400000095,19.20000076,2.200000048,18,48,34,28,4,,,,,,,,0.090971778,,,,,,,-0.035409647,,,,,
76,76,182,-96.98,42.38,8.703666687,688,6.400000095,19.20000076,2.200000048,18,48,34,28,4,,,,,,,,0.044451763,,,,,,,-0.090614927,,,,,
77,77,182,-96.98,42.38,8.703666687,688,6.400000095,19.20000076,2.200000048,18,48,34,28,4,,,,,,,,0,,,,,,,-0.079072508,,,,,
78,78,182,-96.98,42.38,8.703666687,688,6.400000095,19.20000076,2.200000048,18,48,34,28,4,,,,,,,,0,,,,,,,-0.071620842,,,,,
79,79,182,-96.98,42.38,8.703666687,688,6.400000095,19.20000076,2.200000048,18,48,34,28,4,,,,,,,,-0.042559614,,,,,,,-0.05780763,,,,,
80,80,182,-96.98,42.38,8.703666687,688,6.400000095,19.20000076,2.200000048,18,48,34,28,4,,,,,,,,0.046520016,,,,,,,-0.046801474,,,,,
81,81,182,-96.98,42.38,8.703666687,688,6.400000095,19.20000076,2.200000048,18,48,34,29,4,,,,,,,,0.046520016,,,,,,,-0.01693784,,,,,
82,82,182,-96.98,42.38,8.703666687,688,6.400000095,19.20000076,2.200000048,18,48,34,30,4,,,,,,,,-0.046520016,,,,,,,-0.069466103,,,,,
83,83,182,-96.98,42.38,8.703666687,688,6.400000095,19.20000076,2.200000048,18,48,34,31,4,,,,,,,,0,,,,,,,-0.045074425,,,,,
84,84,182,-96.98,42.38,8.703666687,688,6.400000095,19.20000076,2.200000048,18,48,34,32,4,,,,,,,,-0.044451763,,,,,,,-0.029902014,,,,,
85,85,182,-96.98,42.38,8.703666687,688,6.400000095,19.20000076,2.200000048,18,48,34,33,4,,,,,,,,-0.042559614,,,,,,,-0.004691698,,,,,
86,86,200,-72.416667,-38.683333,11.60366726,1497,5.800000191,120.4000015,5.699999809,19,55,26,5,4,,,,0.000999501,,,,0.242161557,,,,0.241162057,,,0.042797229,,,,,
87,87,200,-72.416667,-38.683333,11.60366726,1497,5.800000191,120.4000015,5.699999809,19,55,26,5,4,,,,0.025331601,,,,0.301584978,,,,0.276253377,,,0.031808107,,,,,
88,88,225,-63.2182909,46.2620503,5.468833447,1130,5.199999809,43.59999847,4.199999809,57,32,11,18,4,,,,-0.049832374,,,,0.040094457,,,,0.08104121,,,0.021368334,,,,,
89,89,225,-63.2182909,46.2620503,5.468833447,1130,5.300000191,25.60000038,2.200000048,56,32,12,18,4,,,,0.021353124,,,,-0.024938948,,,,-0.048790164,,,0.0276908,,,,,
90,90,225,-63.2182909,46.2620503,5.468833447,1130,5.300000191,25.60000038,2.200000048,56,32,12,18,4,,,,-0.026317308,,,,-0.038151766,,,,-0.008230499,,,-0.027283959,,,,,
91,91,225,-63.2182909,46.2620503,5.468833447,1130,5.400000095,14.89999962,1.200000048,56,32,12,18,4,,,,-0.131927543,,,,-0.106222213,,,,-0.065382759,,,-0.058018418,,,,,
92,92,225,-63.2182909,46.2620503,5.468833447,1130,5.5,8.600000381,0.800000012,56,31,13,18,4,,,,0.093257493,,,,0.014815086,,,,-0.041672696,,,-0.011376687,,,,,
93,93,225,-63.2182909,46.2620503,5.468833447,1130,5.5,8.600000381,0.800000012,56,31,13,18,4,,,,-0.177996558,,,,-0.101782694,,,,0.062520357,,,0.019185241,,,,,
94,94,231,-45.111944,-9.166389,27,1000,5.699999809,16.89999962,1.299999952,64,14,22,3,12,,,,,,,,-0.079392965,,,,,,,0.011215071,,,,,
95,95,231,-45.111944,-9.166389,27,1000,5.699999809,16.89999962,1.299999952,64,14,22,3,12,,,,,,,,0.378527452,,,,,,,0.015267472,,,,,
96,96,231,-45.111944,-9.166389,27,1000,5.599999905,12.69999981,1,65,13,22,3,12,,,,,,,,0.001084599,,,,,,,-0.041061487,,,,,
97,97,231,-45.111944,-9.166389,27,1000,5.599999905,12.69999981,1,65,13,22,3,12,,,,,,,,0.10303802,,,,,,,0.008016075,,,,,
98,98,231,-45.111944,-9.166389,27,1000,5.599999905,12.69999981,1,65,13,22,3,12,,,,,,,,-0.318536297,,,,,,,-0.041672696,,,,,
99,99,231,-45.111944,-9.166389,27,1000,5.599999905,12.69999981,1,65,13,22,3,12,,,,,,,,-0.099390349,,,,,,,0.016129382,,,,,
100,100,231,-45.111944,-9.166389,27,1000,5.599999905,8.899999619,0.600000024,64,13,23,3,12,,,,,,,,-0.140088793,,,,,,,-0.030060067,,,,,
101,101,231,-45.111944,-9.166389,27,1000,5.599999905,8.899999619,0.600000024,64,13,23,3,12,,,,,,,,0.521744318,,,,,,,0.070769071,,,,,
102,102,234,124.024842,43.500761,6.647500038,521,8.2,7.9,0.9,34,40,26,11,5,,,,0.029270382,,,,0.1480531,,,,0.110665568,,,,,,,,
103,103,234,124.024842,43.500761,6.647500038,521,8.2,7.9,0.9,33,40,27,11,5,,,,0.029270382,,,,0.137621378,,,,0.074107972,,,,,,,,
104,104,234,124.024842,43.500761,6.647500038,521,8.2,7.9,0.9,31,43,26,11,5,,,,0.029270382,,,,0.057158414,,,,-0.022472856,,,,,,,,
105,105,237,-50.9725,-29.925,19.6,1398,5.099999905,10,4.300000191,46,40,14,4,3,,1.337841978,,,,,,0.196506192,,,,0.273136361,,,,,,,,0.383664182
106,106,238,-50.083889,-29.950556,19.3074398,1398,NA,NA,NA,NA,NA,NA,22,8,,0.40187444,,,,,,,,,,,,,,,,,,
107,107,245,-60.1752306,-12.7587626,23.1,2170,4.900000095,20.5,1.799999952,62,14,24,3,5,,,,,,,,0.327396735,,,,,,,0.043485112,,,,,
108,108,245,-60.1752306,-12.7587626,23.1,2170,4.900000095,20.5,1.799999952,62,14,24,3,5,,,,,,,,-0.024692613,,,,,,,0.182321557,,,,,
109,109,245,-60.1752306,-12.7587626,23.1,2170,4.900000095,16.5,1.200000048,61,14,25,3,5,,,,,,,,0.379489622,,,,,,,0.043485112,,,,,
110,110,245,-60.1752306,-12.7587626,23.1,2170,4.900000095,16.5,1.200000048,61,14,25,3,5,,,,,,,,-0.023770219,,,,,,,0.105360516,,,,,
111,111,245,-60.1752306,-12.7587626,23.1,0,4.900000095,16.5,1.200000048,61,14,25,3,5,,,,,,,,0.164755233,,,,,,,0.021978907,,,,,
112,112,245,-60.1752306,-12.7587626,23.1,2170,4.900000095,16.5,1.200000048,61,14,25,3,5,,,,,,,,-0.146835358,,,,,,,0.043485112,,,,,
113,113,245,-60.1752306,-12.7587626,23.1,2170,4.900000095,9.800000191,0.899999976,58,14,28,3,5,,,,,,,,0.01408474,,,,,,,0,,,,,
114,114,245,-60.1752306,-12.7587626,23.1,2170,4.900000095,9.800000191,0.899999976,58,14,28,3,5,,,,,,,,-0.015267472,,,,,,,0.067441281,,,,,
115,115,251,35.3575,37.015,20,670,7.82,8.76,0.87,26,31,43,30,3,,,,0.317305211,,,,0.434104479,,,,0.116799268,,,,,,,,
116,116,251,35.3575,37.015,20,670,7.82,8.76,0.87,25,30,45,30,3,,,,-0.038696209,,,,-0.048452383,,,,-0.009756175,,,,,,,,
117,117,251,35.3575,37.015,20,670,7.82,8.76,0.87,23,29,48,30,3,,,,-0.139180239,,,,-0.10743154,,,,0.031748698,,,,,,,,
118,118,251,35.3575,37.015,20,670,7.82,8.76,0.87,26,31,43,30,3,,,,0.220519602,,,,0.48999571,,,,0.269476108,,,,,,,,
119,119,251,35.3575,37.015,20,670,7.82,8.76,0.87,25,30,45,30,3,,,,0.085571073,,,,0.001013685,,,,-0.084557388,,,,,,,,
120,120,251,35.3575,37.015,20,670,7.82,8.76,0.87,23,29,48,30,3,,,,0.051056524,,,,-0.019324273,,,,-0.070380797,,,,,,,,
121,121,262,45.969556,45.969556,10.4248333,243,7.599999905,37.09999847,4,22,43,35,20,3,,,,-0.106222213,,,,-0.104543856,,,,-0.001678357,,,-0.033769443,,,,,
122,122,262,-97.478833,45.9985,6.262499809,505,7.099999905,51.70000076,4.099999905,31,39,30,36,3,,,,0.099901516,,,,0.197635792,,,,-0.097734275,,,-0.15866536,,,,,
123,123,262,-97.443194,45.9985,6.314666748,504,7,52.40000153,3.900000095,35,35,30,20,3,,,,0.010810916,,,,-0.006006024,,,,0.01681694,,,-0.0605465,,,,,
124,124,262,45.969556,45.969556,10.4248333,243,7.599999905,22.70000076,1.899999976,22,44,34,20,3,,,,-0.106222213,,,,-0.104543856,,,,-0.001678357,,,-0.033769443,,,,,
125,125,262,-97.478833,45.9985,6.262499809,505,7.300000191,19.89999962,1.899999976,31,38,31,36,3,,,,0.099901516,,,,0.197635792,,,,-0.097734275,,,-0.15866536,,,,,
126,126,262,-97.443194,45.9985,6.314666748,504,7.199999809,19.10000038,1.600000024,36,35,29,20,3,,,,0.010810916,,,,-0.006006024,,,,0.01681694,,,-0.0605465,,,,,
127,127,262,45.969556,45.969556,10.4248333,243,7.900000095,24.39999962,1.299999952,23,44,33,20,3,,,,-0.106222213,,,,-0.104543856,,,,-0.001678357,,,-0.033769443,,,,,
128,128,262,-97.478833,45.9985,6.262499809,505,7.699999809,9.5,1.100000024,31,38,31,36,3,,,,0.099901516,,,,0.197635792,,,,-0.097734275,,,-0.15866536,,,,,
129,129,262,-97.443194,45.9985,6.314666748,504,7.599999905,9.5,0.899999976,36,35,29,20,3,,,,0.010810916,,,,-0.006006024,,,,0.01681694,,,-0.0605465,,,,,
130,130,262,-97.478833,45.969556,6.314666748,504,8,4.6,0.64,37.4,30.7,31.9,20,3,,,,-0.106222213,,,,-0.104543856,,,,-0.001678357,,,-0.033769443,,,,,
131,131,262,-97.478833,45.9985,6.262499809,505,8,4.6,0.64,37.4,30.7,31.9,36,3,,,,0.099901516,,,,0.197635792,,,,-0.097734275,,,-0.15866536,,,,,
132,132,262,-97.443194,45.9985,6.314666748,504,8,4.6,0.64,37.4,30.7,31.9,20,3,,,,0.010810916,,,,-0.006006024,,,,0.01681694,,,-0.0605465,,,,,
133,133,264,-83.53725,41.9933,9.416666985,855,6.599999905,44.09999847,6.199999809,37,40,23,10,3,,,,,,,,0.258787606,,,,,,,-0.163598081,,,,,
134,134,264,-83.766683,41.781717,9.372333527,860,6.599999905,40.20000076,6,33,38,29,10,3,,,,,,,,0.40717305,,,,,,,-0.051979035,,,,,
135,135,264,-83.0005,39.082517,11.69750023,1013,6,51.79999924,3.5,22,51,27,15,3,,,,,,,,-0.199001246,,,,,,,-0.008608375,,,,,
136,136,264,-81.6775,40.891402,9.582666397,956,6,46.70000076,6.300000191,26,48,26,6,3,,,,,,,,-0.179151982,,,,,,,0.023973751,,,,,
137,137,264,-79.091,39.74385,8.652832985,1057,5.400000095,121,8.5,29,48,23,30,3,,,,,,,,0.515402291,,,,,,,-0.103348443,,,,,
138,138,264,-83.53725,41.9933,9.416666985,855,6.599999905,29.89999962,3.599999905,37,41,22,10,3,,,,,,,,-0.00851069,,,,,,,,,,,,
139,139,264,-83.766683,41.781717,9.372333527,860,6.699999809,24.5,3,33,39,28,10,3,,,,,,,,0.014888612,,,,,,,,,,,,
140,140,264,-83.0005,39.082517,11.69750023,1013,6.099999905,16.20000076,1.399999976,22,51,27,15,3,,,,,,,,-0.228841572,,,,,,,,,,,,
141,141,264,-81.6775,40.891402,9.582666397,956,6,20.5,2.400000095,26,49,25,6,3,,,,,,,,-0.526491741,,,,,,,,,,,,
142,142,264,-79.091,39.74385,8.652832985,1057,5.5,32.40000153,2.599999905,28,47,25,30,3,,,,,,,,0.149112886,,,,,,,,,,,,
143,143,264,-83.53725,41.9933,9.416666985,855,6.599999905,15.60000038,2.900000095,36,40,24,10,3,,,,,,,,-0.141746289,,,,,,,,,,,,
144,144,264,-83.766683,41.781717,9.372333527,860,6.599999905,12.89999962,2.299999952,31,38,31,10,3,,,,,,,,-0.211649172,,,,,,,,,,,,
145,145,264,-83.0005,39.082517,11.69750023,1013,6,9.600000381,1.200000048,21,49,30,15,3,,,,,,,,-0.337353682,,,,,,,,,,,,
146,146,264,-81.6775,40.891402,9.582666397,956,5.900000095,10.19999981,1.700000048,22,45,33,6,3,,,,,,,,-0.238751449,,,,,,,,,,,,
147,147,264,-79.091,39.74385,8.652832985,1057,5.5,12,1.100000024,28,47,25,30,3,,,,,,,,-0.114929967,,,,,,,,,,,,
148,148,264,-83.53725,41.9933,9.416666985,855,7.099999905,13.19999981,2.200000048,36,40,24,10,3,,,,,,,,-0.554310736,,,,,,,,,,,,
149,149,264,-83.766683,41.781717,9.372333527,860,7,7.599999905,1.600000024,29,38,33,10,3,,,,,,,,-0.249654677,,,,,,,,,,,,
150,150,264,-83.0005,39.082517,11.69750023,1013,6,6.5,0.800000012,20,47,33,15,3,,,,,,,,-0.211309094,,,,,,,,,,,,
151,151,264,-81.6775,40.891402,9.582666397,956,6,7,1.600000024,22,44,34,6,3,,,,,,,,-0.879733136,,,,,,,,,,,,
152,152,264,-79.091,39.74385,8.652832985,1057,5.5,5.800000191,0.800000012,28,45,27,30,3,,,,,,,,0.120363682,,,,,,,,,,,,
153,153,264,-83.53725,41.9933,9.416666985,855,7.099999905,13.19999981,2.200000048,36,40,24,10,3,,,,,,,,-0.334202088,,,,,,,,,,,,
154,154,264,-83.766683,41.781717,9.372333527,860,7,7.599999905,1.600000024,29,38,33,10,3,,,,,,,,0.300104592,,,,,,,,,,,,
155,155,264,-83.0005,39.082517,11.69750023,1013,6,6.5,0.800000012,20,47,33,15,3,,,,,,,,-0.119707964,,,,,,,,,,,,
156,156,264,-81.6775,40.891402,9.582666397,956,6,7,1.600000024,22,44,34,6,3,,,,,,,,-0.985283603,,,,,,,,,,,,
157,157,264,-79.091,39.74385,8.652832985,1057,5.5,5.800000191,0.800000012,28,45,27,30,3,,,,,,,,0.318453731,,,,,,,,,,,,
158,158,268,-109.09,27.33,24,320,7.400000095,20.29999924,2.099999905,57,21,22,18,3,,,,-0.029718917,,,,-0.050772325,,,,-0.021053409,,,0.022728251,,,,,
159,159,268,-109.09,27.33,24,320,7.400000095,20.29999924,2.099999905,57,21,22,18,3,,,,-0.102742714,,,,-0.066375069,,,,0.036367644,,,0,,,,,
160,160,272,113,38.1,10.7,555,7.4,24.79999924,2.400000095,8.5,72.3,19.2,11,3,,,,0.009132484,,,,0.376051223,,,,0.303186259,,,,,,,,
161,161,288,35.215278,-24.330278,23.02283287,1068,5.45,5,0.5,85.4,5.3,9.3,2,4,,,,-0.117661329,,,,0.392042088,,,,0.470003629,,,0.084408604,,,,,
162,162,291,79.666667,29.6,18.20283318,921,6.099999905,6.15,4,33,45,22,6,4,,,,,0.130053128,,,0.106380404,0.103017347,0.119664504,,,,,-0.05804337,,,,,0.207639365
163,163,291,79.666667,29.6,18.20283318,921,6.099999905,6.15,1.5,32,43,25,6,4,,,,,0.09531018,,,0.106380404,0.103017347,0.119664504,,,,,-0.009917437,,,,,0.421213465
164,164,293,95.266667,28.583333,15.74066639,1828.2,5.6,10,7.800000191,39,33,28,2,3,,,,,,,,0.009852296,,,,,,,,,,,,
165,165,293,95.266667,28.583333,15.74066639,1828.2,5.6,10,7.800000191,39,33,28,2,3,,,,,,,,0.094409684,,,,,,,,,,,,
166,166,302,89.843248,38.519179,0.536333263,71,8.100000381,11.89999962,1.100000024,52,30,18,36,4,,,,,,,,0.189620859,,,,,,,0.056308022,,,,,
